"Package","Version","Source","Type","Title","License","URL","Author","Maintainer","Repository"
"DT","0.33","Repository","Package","A Wrapper of the JavaScript Library 'DataTables'","GPL-3 | file LICENSE","https://github.com/rstudio/DT","Yihui Xie [aut], Joe Cheng [aut, cre], Xianying Tan [aut], JJ Allaire [ctb], Maximilian Girlich [ctb], Greg Freedman Ellis [ctb], Johannes Rauh [ctb], SpryMedia Limited [ctb, cph] (DataTables in htmlwidgets/lib), Brian Reavis [ctb, cph] (selectize.js in htmlwidgets/lib), Leon Gersen [ctb, cph] (noUiSlider in htmlwidgets/lib), Bartek Szopka [ctb, cph] (jquery.highlight.js in htmlwidgets/lib), Alex Pickering [ctb], William Holmes [ctb], Mikko Marttila [ctb], Andres Quintero [ctb], Stéphane Laurent [ctb], Posit Software, PBC [cph, fnd]","Joe Cheng <joe@posit.co>","CRAN"
"MASS","7.3-65","Repository","","Support Functions and Datasets for Venables and Ripley's MASS","GPL-2 | GPL-3","http://www.stats.ox.ac.uk/pub/MASS4/","Brian Ripley [aut, cre, cph], Bill Venables [aut, cph], Douglas M. Bates [ctb], Kurt Hornik [trl] (partial port ca 1998), Albrecht Gebhardt [trl] (partial port ca 1998), David Firth [ctb] (support functions for polr)","Brian Ripley <Brian.Ripley@R-project.org>","CRAN"
"Matrix","1.7-3","Repository","","Sparse and Dense Matrix Classes and Methods","GPL (>= 2) | file LICENCE","https://Matrix.R-forge.R-project.org","Douglas Bates [aut] (<https://orcid.org/0000-0001-8316-9503>), Martin Maechler [aut, cre] (<https://orcid.org/0000-0002-8685-9910>), Mikael Jagan [aut] (<https://orcid.org/0000-0002-3542-2938>), Timothy A. Davis [ctb] (<https://orcid.org/0000-0001-7614-6899>, SuiteSparse libraries, collaborators listed in dir(system.file(""doc"", ""SuiteSparse"", package=""Matrix""), pattern=""License"", full.names=TRUE, recursive=TRUE)), George Karypis [ctb] (<https://orcid.org/0000-0003-2753-1437>, METIS library, Copyright: Regents of the University of Minnesota), Jason Riedy [ctb] (<https://orcid.org/0000-0002-4345-4200>, GNU Octave's condest() and onenormest(), Copyright: Regents of the University of California), Jens Oehlschlägel [ctb] (initial nearPD()), R Core Team [ctb] (02zz1nj61, base R's matrix implementation)","Martin Maechler <mmaechler+Matrix@gmail.com>","CRAN"
"R.cache","0.17.0","Repository","","Fast and Light-Weight Caching (Memoization) of Objects and Results to Speed Up Computations","LGPL (>= 2.1)","https://github.com/HenrikBengtsson/R.cache","Henrik Bengtsson [aut, cre, cph]","Henrik Bengtsson <henrikb@braju.com>","CRAN"
"R.methodsS3","1.8.2","Repository","","S3 Methods Simplified","LGPL (>= 2.1)","https://github.com/HenrikBengtsson/R.methodsS3","Henrik Bengtsson [aut, cre, cph]","Henrik Bengtsson <henrikb@braju.com>","CRAN"
"R.oo","1.27.1","Repository","","R Object-Oriented Programming with or without References","LGPL (>= 2.1)","https://henrikbengtsson.github.io/R.oo/, https://github.com/HenrikBengtsson/R.oo","Henrik Bengtsson [aut, cre, cph]","Henrik Bengtsson <henrikb@braju.com>","CRAN"
"R.utils","2.13.0","Repository","","Various Programming Utilities","LGPL (>= 2.1)","https://henrikbengtsson.github.io/R.utils/, https://github.com/HenrikBengtsson/R.utils","Henrik Bengtsson [aut, cre, cph]","Henrik Bengtsson <henrikb@braju.com>","CRAN"
"R6","2.6.1","Repository","","Encapsulated Classes with Reference Semantics","MIT + file LICENSE","https://r6.r-lib.org, https://github.com/r-lib/R6","Winston Chang [aut, cre], Posit Software, PBC [cph, fnd]","Winston Chang <winston@posit.co>","CRAN"
"RColorBrewer","1.1-3","Repository","","ColorBrewer Palettes","Apache License 2.0","","Erich Neuwirth [aut, cre]","Erich Neuwirth <erich.neuwirth@univie.ac.at>","CRAN"
"Rcpp","1.1.0","Repository","","Seamless R and C++ Integration","GPL (>= 2)","https://www.rcpp.org, https://dirk.eddelbuettel.com/code/rcpp.html, https://github.com/RcppCore/Rcpp","Dirk Eddelbuettel [aut, cre] (ORCID: <https://orcid.org/0000-0001-6419-907X>), Romain Francois [aut] (ORCID: <https://orcid.org/0000-0002-2444-4226>), JJ Allaire [aut] (ORCID: <https://orcid.org/0000-0003-0174-9868>), Kevin Ushey [aut] (ORCID: <https://orcid.org/0000-0003-2880-7407>), Qiang Kou [aut] (ORCID: <https://orcid.org/0000-0001-6786-5453>), Nathan Russell [aut], Iñaki Ucar [aut] (ORCID: <https://orcid.org/0000-0001-6403-5550>), Doug Bates [aut] (ORCID: <https://orcid.org/0000-0001-8316-9503>), John Chambers [aut]","Dirk Eddelbuettel <edd@debian.org>","CRAN"
